type,created_at,date_string,data
bus,1453734900,2016-01-25 09:15,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453734900', 'eta': '0.0 to 5.16666666667', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
uberX,1453734900,2016-01-25 09:15,"{'surge_rate': '1.3 to 1.45', 'eta': '3.5 to 5.0', 'type': 'uberX', 'request_time': '1453734900', 'request_id': '293769eb-c4fc-11e5-a9cc-6c40089af1d0'}"
train,1453735033,2016-01-25 09:17,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453735033', 'eta': '14.5 to 19.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453735051,2016-01-25 09:17,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453735051', 'eta': '1.0 to 5.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453735056,2016-01-25 09:17,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453735056', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
train,1453735288,2016-01-25 09:21,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453735288', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
train,1453735296,2016-01-25 09:21,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453735296', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453735528,2016-01-25 09:25,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453735528', 'eta': '10.0 to 14.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453735659,2016-01-25 09:27,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453735659', 'eta': '11.5 to 15.0', 'stop_name': 'California', 'type': 'train'}"
uberX,1453735800,2016-01-25 09:30,"{'surge_rate': '1.3', 'eta': '6.5 to 8.0', 'type': 'uberX', 'request_time': '1453735800', 'request_id': 'cde71735-c5cf-11e5-a21e-6c40089af1d0'}"
train,1453735846,2016-01-25 09:30,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453735846', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
