requested_time,route,direction,stop_name,eta,delayed
1453986398,Blue,5,Damen,5.5 to 10.0,0
1453986814,Blue,5,Damen,10.0 to 14.5,0
1453986990,Blue,5,Damen,14.5 to 19.0,0
1453986965,Blue,5,Damen,1.0 to 5.5,0
1453987354,Blue,5,Damen,5.5 to 10.0,0
1453987712,Blue,5,Damen,10.0 to 14.5,0
1453987934,Blue,5,Damen,14.5 to 19.0,0
1453987857,Blue,5,Damen,1.0,0
1453988151,Blue,5,Damen,5.5 to 10.0,0
1453988478,Blue,5,Damen,10.0 to 14.5,0
1453988692,Blue,5,Damen,14.5 to 19.0,0
1453988774,Blue,5,Damen,1.0 to 5.5,0
1453988994,Blue,5,Damen,1.0 to 5.5,0
1453989233,Blue,5,Damen,5.5 to 10.0,0
1453989465,Blue,5,Damen,10.0 to 14.5,0
1453989930,Blue,5,Damen,5.5 to 10.0,0
1453990080,Blue,5,Damen,5.5 to 10.0,0
1453990567,Blue,5,Damen,1.0 to 5.5,0
1453991514,Blue,5,Damen,1.0 to 5.5,0
1453991739,Blue,5,Damen,5.5 to 10.0,0
1453991965,Blue,5,Damen,10.0,0
1453992209,Blue,5,Damen,10.0 to 14.5,0
1453992420,Blue,5,Damen,14.5 to 19.0,0
1453992337,Blue,5,Damen,1.0,0
1453992512,Blue,5,Damen,1.0 to 5.5,0
1453992693,Blue,5,Damen,5.5 to 10.0,0
1453992995,Blue,5,Damen,10.0 to 14.5,0
1453993416,Blue,5,Damen,19.0,0
1453993348,Blue,5,Damen,1.0 to 5.5,0
1453993515,Blue,5,Damen,5.5 to 10.0,0
1453993690,Blue,5,Damen,5.5 to 10.0,0
1453994012,Blue,5,Damen,10.0 to 14.5,0
1453994431,Blue,5,Damen,5.5 to 10.0,0
1453994978,Blue,5,Damen,14.5 to 19.0,0
1453995132,Blue,5,Damen,14.5 to 19.0,0
1453995307,Blue,5,Damen,5.5 to 10.0,0
1453995393,Blue,5,Damen,5.5 to 10.0,0
1453995697,Blue,5,Damen,10.0 to 14.5,0
1453996109,Blue,5,Damen,19.0,0
1453996415,Blue,5,Damen,5.5 to 10.0,0
1453996454,Blue,5,Damen,10.0 to 14.5,0
1453996872,Blue,5,Damen,1.0 to 5.5,0
1453997200,Blue,5,Damen,5.5 to 10.0,0
1453997737,Blue,5,Damen,14.5 to 19.0,0
1453997752,Blue,5,Damen,1.0 to 5.5,0
1453998347,Blue,5,Damen,10.0 to 14.5,0
1453999004,Blue,5,Damen,5.5 to 10.0,0
1453999314,Blue,5,Damen,10.0 to 14.5,0
1453999550,Blue,5,Damen,14.5 to 19.0,0
1453999580,Blue,5,Damen,1.0 to 5.5,0
1454000013,Blue,5,Damen,5.5 to 10.0,0
1454000772,Blue,5,Damen,5.5 to 10.0,0
1454001365,Blue,5,Damen,14.5 to 19.0,0
1454001396,Blue,5,Damen,1.0 to 5.5,0
1454001832,Blue,5,Damen,5.5 to 10.0,0
1454002415,Blue,5,Damen,1.0 to 5.5,0
1454003134,Blue,5,Damen,14.5 to 19.0,0
1454003130,Blue,5,Damen,1.0,0
1454003697,Blue,5,Damen,10.0 to 14.5,0
1454072483,Blue,5,Damen,14.5 to 19.0,0
1454072431,Blue,5,Damen,1.0,0
1454072854,Blue,5,Damen,5.5 to 10.0,0
1454073331,Blue,5,Damen,14.5 to 19.0,0
1454073514,Blue,5,Damen,19.0,0
1454073503,Blue,5,Damen,1.0 to 5.5,0
1454073673,Blue,5,Damen,5.5 to 10.0,0
1454074058,Blue,5,Damen,10.0 to 14.5,0
1454074418,Blue,5,Damen,19.0,0
1454074364,Blue,5,Damen,1.0 to 5.5,0
1454074548,Blue,5,Damen,5.5 to 10.0,0
1454074974,Blue,5,Damen,10.0 to 14.5,0
1454075160,Blue,5,Damen,14.5 to 19.0,0
1454075322,Blue,5,Damen,19.0,0
1454075215,Blue,5,Damen,1.0 to 5.5,0
1454075335,Blue,5,Damen,1.0 to 5.5,0
1454075477,Blue,5,Damen,5.5 to 10.0,0
1454075697,Blue,5,Damen,10.0,0
1454076154,Blue,5,Damen,1.0 to 5.5,0
1454076369,Blue,5,Damen,5.5 to 10.0,0
1454076727,Blue,5,Damen,10.0 to 14.5,0
1454076956,Blue,5,Damen,1.0 to 5.5,0
1454077290,Blue,5,Damen,5.5 to 10.0,0
1454077871,Blue,5,Damen,1.0 to 5.5,0
1454078096,Blue,5,Damen,1.0 to 5.5,0
1454078272,Blue,5,Damen,5.5 to 10.0,0
1454078567,Blue,5,Damen,10.0 to 14.5,0
1454078861,Blue,5,Damen,14.5 to 19.0,0
1454078788,Blue,5,Damen,1.0 to 5.5,0
1454079019,Blue,5,Damen,5.5 to 10.0,0
1454079269,Blue,5,Damen,10.0,0
1454079556,Blue,5,Damen,14.5 to 19.0,0
1454079930,Blue,5,Damen,5.5 to 10.0,0
1454080416,Blue,5,Damen,10.0 to 14.5,0
1454080534,Blue,5,Damen,14.5 to 19.0,0
1454080532,Blue,5,Damen,1.0,0
1454080771,Blue,5,Damen,1.0 to 5.5,0
1454081193,Blue,5,Damen,10.0 to 14.5,0
1454081630,Blue,5,Damen,1.0 to 5.5,0
1454082055,Blue,5,Damen,10.0 to 14.5,0
1454082717,Blue,5,Damen,5.5 to 10.0,0
1454083019,Blue,5,Damen,10.0 to 14.5,0
1454083674,Blue,5,Damen,5.5 to 10.0,0
1454084134,Blue,5,Damen,14.5 to 19.0,0
1454084198,Blue,5,Damen,1.0 to 5.5,0
1454084732,Blue,5,Damen,10.0 to 14.5,0
1454085323,Blue,5,Damen,5.5 to 10.0,0
1454086055,Blue,5,Damen,14.5 to 19.0,0
1454086059,Blue,5,Damen,1.0 to 5.5,0
1454086600,Blue,5,Damen,10.0 to 14.5,0
1454087373,Blue,5,Damen,10.0,0
1454088160,Blue,5,Damen,19.0 to 23.5,0
1454087973,Blue,5,Damen,1.0 to 5.5,0
1454088433,Blue,5,Damen,10.0 to 14.5,0
1454088757,Blue,5,Damen,14.5 to 19.0,0
1454088717,Blue,5,Damen,1.0 to 5.5,0
1454089311,Blue,5,Damen,10.0 to 14.5,0
1454090075,Blue,5,Damen,10.0,0
1454158990,Blue,5,Damen,19.0,0
1454159529,Blue,5,Damen,14.5 to 19.0,0
1454160100,Blue,5,Damen,19.0 to 23.5,0
1454159911,Blue,5,Damen,1.0 to 5.5,0
1454160153,Blue,5,Damen,5.5 to 10.0,0
1454160691,Blue,5,Damen,14.5 to 19.0,0
1454161111,Blue,5,Damen,5.5 to 10.0,0
1454161596,Blue,5,Damen,14.5 to 19.0,0
1454161577,Blue,5,Damen,1.0 to 5.5,0
1454162079,Blue,5,Damen,10.0,0
1454162496,Blue,5,Damen,14.5 to 19.0,0
1454162884,Blue,5,Damen,5.5 to 10.0,0
1454163445,Blue,5,Damen,14.5 to 19.0,0
1454163873,Blue,5,Damen,10.0,0
1454164243,Blue,5,Damen,14.5 to 19.0,0
1454164516,Blue,5,Damen,5.5 to 10.0,0
1454165016,Blue,5,Damen,10.0 to 14.5,0
1454165315,Blue,5,Damen,1.0 to 5.5,0
1454165715,Blue,5,Damen,10.0 to 14.5,0
1454166068,Blue,5,Damen,14.5 to 19.0,0
1454166385,Blue,5,Damen,5.5 to 10.0,0
1454166734,Blue,5,Damen,10.0 to 14.5,0
1454167235,Blue,5,Damen,5.5 to 10.0,0
1454167521,Blue,5,Damen,10.0 to 14.5,0
1454167951,Blue,5,Damen,14.5 to 19.0,0
1454168013,Blue,5,Damen,1.0 to 5.5,0
1454168160,Blue,5,Damen,5.5 to 10.0,0
1454168613,Blue,5,Damen,10.0 to 14.5,0
1454169096,Blue,5,Damen,5.5 to 10.0,0
1454169398,Blue,5,Damen,10.0 to 14.5,0
1454169679,Blue,5,Damen,14.5 to 19.0,0
1454170075,Blue,5,Damen,5.5 to 10.0,0
1454170354,Blue,5,Damen,10.0 to 14.5,0
1454170748,Blue,5,Damen,1.0 to 5.5,0
1454171197,Blue,5,Damen,10.0 to 14.5,0
1454171618,Blue,5,Damen,19.0,0
1454171604,Blue,5,Damen,1.0 to 5.5,0
1454171915,Blue,5,Damen,5.5 to 10.0,0
1454172259,Blue,5,Damen,14.5 to 19.0,0
1454172519,Blue,5,Damen,1.0 to 5.5,0
1454172992,Blue,5,Damen,10.0 to 14.5,0
1454173278,Blue,5,Damen,14.5 to 19.0,0
1454173658,Blue,5,Damen,5.5 to 10.0,0
1454173959,Blue,5,Damen,10.0 to 14.5,0
1454174309,Blue,5,Damen,19.0,0
1454174218,Blue,5,Damen,1.0 to 5.5,0
1454174698,Blue,5,Damen,10.0,0
1454175144,Blue,5,Damen,14.5 to 19.0,0
1454175109,Blue,5,Damen,1.0 to 5.5,0
1454175448,Blue,5,Damen,5.5 to 10.0,0
1454175747,Blue,5,Damen,10.0 to 14.5,0
1454176114,Blue,5,Damen,1.0 to 5.5,0
1454176633,Blue,5,Damen,10.0 to 14.5,0
1454245660,Blue,5,Damen,19.0 to 23.5,0
1454245819,Blue,5,Damen,10.0 to 14.5,0
1454246380,Blue,5,Damen,19.0 to 23.5,0
