15052,72,1957,20160120 11:33,20160120 11:15,Eastbound,North Ave & California
397,52,1701,20160120 11:15,20160120 11:14,Southbound,California & Milwaukee (Blue Line)
6106,52,804,20160120 11:21,20160120 11:14,Northbound,California & Le Moyne
9886,52,1283,20160120 11:29,20160120 11:14,Southbound,California & Milwaukee (Blue Line)
1872,72,1955,20160120 11:32,20160120 11:29,Westbound,North Ave & Damen
2497,72,1957,20160120 11:33,20160120 11:29,Eastbound,North Ave & California
3189,72,1996,20160120 11:34,20160120 11:29,Eastbound,North Ave & California
1653,52,1283,20160120 11:31,20160120 11:29,Southbound,California & Milwaukee (Blue Line)
9886,52,1256,20160120 11:45,20160120 11:26,Southbound,California & Milwaukee (Blue Line)
12631,52,1681,20160120 11:45,20160120 11:29,Northbound,California & Le Moyne
3916,72,8141,20160120 11:49,20160120 11:44,Westbound,North Ave & Damen
7993,72,1943,20160120 11:54,20160120 11:44,Eastbound,North Ave & California
12452,72,8168,20160120 12:03,20160120 11:44,Westbound,North Ave & Damen
393,52,1256,20160120 11:45,20160120 11:45,Southbound,California & Milwaukee (Blue Line)
10947,52,1798,20160120 11:58,20160120 11:44,Northbound,California & Le Moyne
9886,52,804,20160120 12:02,20160120 11:44,Southbound,California & Milwaukee (Blue Line)
1188,72,8168,20160120 12:01,20160120 11:59,Westbound,North Ave & Damen
3698,72,8122,20160120 12:03,20160120 11:58,Eastbound,North Ave & California
13913,72,8129,20160120 12:18,20160120 11:59,Eastbound,North Ave & California
3514,52,804,20160120 12:03,20160120 11:59,Southbound,California & Milwaukee (Blue Line)
12718,52,1271,20160120 12:15,20160120 11:59,Northbound,California & Le Moyne
15129,52,1681,20160120 12:19,20160120 11:59,Southbound,California & Milwaukee (Blue Line)
2534,72,8129,20160120 12:17,20160120 12:14,Eastbound,North Ave & California
7869,72,1957,20160120 12:25,20160120 12:14,Westbound,North Ave & Damen
12817,72,1311,20160120 12:32,20160120 12:14,Eastbound,North Ave & California
891,52,1271,20160120 12:16,20160120 12:14,Northbound,California & Le Moyne
3370,52,1681,20160120 12:18,20160120 12:14,Southbound,California & Milwaukee (Blue Line)
14049,52,1376,20160120 12:31,20160120 12:14,Northbound,California & Le Moyne
4716,72,1311,20160120 12:35,20160120 12:29,Eastbound,North Ave & California
6722,72,2024,20160120 12:37,20160120 12:28,Eastbound,North Ave & California
4328,72,8138,20160120 12:37,20160120 12:29,Westbound,North Ave & Damen
1713,52,1376,20160120 12:31,20160120 12:29,Northbound,California & Le Moyne
5868,52,1798,20160120 12:37,20160120 12:29,Southbound,California & Milwaukee (Blue Line)
12417,52,1854,20160120 12:44,20160120 12:29,Northbound,California & Le Moyne
1445,72,1943,20160120 12:47,20160120 12:44,Westbound,North Ave & Damen
3774,72,1049,20160120 12:49,20160120 12:44,Eastbound,North Ave & California
11196,72,1955,20160120 12:59,20160120 12:44,Eastbound,North Ave & California
3091,52,1663,20160120 12:48,20160120 12:43,Northbound,California & Le Moyne
5871,52,1271,20160120 12:51,20160120 12:44,Southbound,California & Milwaukee (Blue Line)
16583,52,1696,20160120 13:06,20160120 12:44,Northbound,California & Le Moyne
8057,72,8129,20160120 13:12,20160120 12:59,Westbound,North Ave & Damen
10966,72,1162,20160120 13:14,20160120 12:59,Eastbound,North Ave & California
17392,72,8141,20160120 13:20,20160120 12:58,Eastbound,North Ave & California
7212,52,1376,20160120 13:07,20160120 12:59,Southbound,California & Milwaukee (Blue Line)
6124,52,1696,20160120 13:07,20160120 12:59,Northbound,California & Le Moyne
18584,52,1849,20160120 13:23,20160120 12:59,Northbound,California & Le Moyne
327,72,1162,20160120 13:15,20160120 13:14,Eastbound,North Ave & California
3877,72,8141,20160120 13:19,20160120 13:14,Eastbound,North Ave & California
6207,72,1311,20160120 13:25,20160120 13:14,Westbound,North Ave & Damen
6814,52,1849,20160120 13:23,20160120 13:14,Northbound,California & Le Moyne
7212,52,1854,20160120 13:23,20160120 13:14,Southbound,California & Milwaukee (Blue Line)
14521,52,1629,20160120 13:33,20160120 13:15,Northbound,California & Le Moyne
3846,72,2024,20160120 13:36,20160120 13:29,Westbound,North Ave & Damen
5368,72,8168,20160120 13:36,20160120 13:29,Eastbound,North Ave & California
8370,72,1215,20160120 13:39,20160120 13:29,Eastbound,North Ave & California
8332,52,1663,20160120 13:40,20160120 13:29,Southbound,California & Milwaukee (Blue Line)
13382,52,1701,20160120 13:45,20160120 13:29,Northbound,California & Le Moyne
9896,52,1696,20160120 13:51,20160120 13:29,Southbound,California & Milwaukee (Blue Line)
965,72,1049,20160120 13:46,20160120 13:44,Westbound,North Ave & Damen
3876,72,1996,20160120 13:49,20160120 13:44,Eastbound,North Ave & California
7054,72,1955,20160120 13:56,20160120 13:44,Westbound,North Ave & Damen
558,52,1701,20160120 13:45,20160120 13:44,Northbound,California & Le Moyne
4045,52,1696,20160120 13:50,20160120 13:45,Southbound,California & Milwaukee (Blue Line)
12632,52,1283,20160120 13:59,20160120 13:44,Northbound,California & Le Moyne
1901,72,1957,20160120 14:01,20160120 13:58,Eastbound,North Ave & California
4458,72,1162,20160120 14:06,20160120 13:59,Westbound,North Ave & Damen
6699,72,8138,20160120 14:07,20160120 13:59,Eastbound,North Ave & California
2181,52,1849,20160120 14:03,20160120 13:59,Southbound,California & Milwaukee (Blue Line)
6363,52,1700,20160120 14:07,20160120 13:59,Northbound,California & Le Moyne
9826,52,1629,20160120 14:12,20160120 14:00,Southbound,California & Milwaukee (Blue Line)
1242,72,8141,20160120 14:17,20160120 14:14,Westbound,North Ave & Damen
5938,72,1943,20160120 14:22,20160120 14:14,Eastbound,North Ave & California
10549,72,8168,20160120 14:32,20160120 14:14,Westbound,North Ave & Damen
1215,52,1256,20160120 14:16,20160120 14:14,Northbound,California & Le Moyne
6113,52,1250,20160120 14:21,20160120 14:14,Northbound,California & Le Moyne
8245,52,1701,20160120 14:25,20160120 14:14,Southbound,California & Milwaukee (Blue Line)
1861,72,8168,20160120 14:33,20160120 14:29,Westbound,North Ave & Damen
3739,72,8118,20160120 14:34,20160120 14:29,Eastbound,North Ave & California
6583,72,8122,20160120 14:37,20160120 14:29,Eastbound,North Ave & California
5002,52,1283,20160120 14:36,20160120 14:29,Southbound,California & Milwaukee (Blue Line)
6116,52,804,20160120 14:37,20160120 14:29,Northbound,California & Le Moyne
9886,52,1700,20160120 14:46,20160120 14:29,Southbound,California & Milwaukee (Blue Line)
377,72,8129,20160120 14:45,20160120 14:44,Eastbound,North Ave & California
2396,72,1996,20160120 14:49,20160120 14:44,Westbound,North Ave & Damen
3877,72,8136,20160120 14:49,20160120 14:45,Eastbound,North Ave & California
1974,52,1700,20160120 14:47,20160120 14:44,Southbound,California & Milwaukee (Blue Line)
8406,52,1256,20160120 14:55,20160120 14:44,Southbound,California & Milwaukee (Blue Line)
9470,52,1681,20160120 14:56,20160120 14:44,Northbound,California & Le Moyne
408,72,1957,20160120 15:01,20160120 14:59,Westbound,North Ave & Damen
4146,72,1311,20160120 15:05,20160120 14:59,Eastbound,North Ave & California
4609,72,1994,20160120 15:06,20160120 14:59,Eastbound,North Ave & California
1696,52,1255,20160120 15:02,20160120 15:00,Northbound,California & Le Moyne
5985,52,1250,20160120 15:07,20160120 14:59,Southbound,California & Milwaukee (Blue Line)
13775,52,1798,20160120 15:16,20160120 14:59,Northbound,California & Le Moyne
1198,72,1049,20160120 15:16,20160120 15:14,Eastbound,North Ave & California
1899,72,1943,20160120 15:17,20160120 15:14,Westbound,North Ave & Damen
13954,72,1979,20160120 15:26,20160120 15:14,Eastbound,North Ave & California
3098,52,1798,20160120 15:18,20160120 15:14,Northbound,California & Le Moyne
3154,52,804,20160120 15:19,20160120 15:14,Southbound,California & Milwaukee (Blue Line)
7814,52,1271,20160120 15:24,20160120 15:15,Northbound,California & Le Moyne
6556,72,1955,20160120 15:38,20160120 15:29,Eastbound,North Ave & California
4415,72,8122,20160120 15:38,20160120 15:29,Westbound,North Ave & Damen
4519,72,8129,20160120 15:38,20160120 15:29,Westbound,North Ave & Damen
5370,52,1660,20160120 15:37,20160120 15:29,Northbound,California & Le Moyne
7157,52,1076,20160120 15:39,20160120 15:29,Southbound,California & Milwaukee (Blue Line)
12078,52,1376,20160120 15:45,20160120 15:29,Northbound,California & Le Moyne
2824,72,1162,20160120 15:48,20160120 15:44,Eastbound,North Ave & California
3026,72,8144,20160120 15:49,20160120 15:44,Eastbound,North Ave & California
3916,72,8136,20160120 15:51,20160120 15:44,Westbound,North Ave & Damen
183,52,1376,20160120 15:45,20160120 15:44,Northbound,California & Le Moyne
4980,52,1255,20160120 15:51,20160120 15:44,Southbound,California & Milwaukee (Blue Line)
9826,52,1798,20160120 15:59,20160120 15:44,Southbound,California & Milwaukee (Blue Line)
1218,72,1344,20160120 16:01,20160120 15:59,Eastbound,North Ave & California
1689,72,1994,20160120 16:03,20160120 15:59,Westbound,North Ave & Damen
2574,72,8168,20160120 16:03,20160120 16:00,Eastbound,North Ave & California
2512,52,1673,20160120 16:01,20160120 15:58,Northbound,California & Le Moyne
840,52,1798,20160120 16:01,20160120 15:59,Southbound,California & Milwaukee (Blue Line)
6802,52,1854,20160120 16:08,20160120 15:59,Northbound,California & Le Moyne
541,72,1049,20160120 16:15,20160120 16:14,Westbound,North Ave & Damen
4595,72,8160,20160120 16:21,20160120 16:14,Eastbound,North Ave & California
6395,72,1979,20160120 16:26,20160120 16:14,Westbound,North Ave & Damen
5196,52,1660,20160120 16:22,20160120 16:13,Southbound,California & Milwaukee (Blue Line)
7417,52,1663,20160120 16:24,20160120 16:14,Northbound,California & Le Moyne
9886,52,1376,20160120 16:33,20160120 16:13,Southbound,California & Milwaukee (Blue Line)
1220,72,1996,20160120 16:31,20160120 16:28,Eastbound,North Ave & California
3276,72,1957,20160120 16:33,20160120 16:29,Eastbound,North Ave & California
9367,72,2019,20160120 16:41,20160120 16:29,Eastbound,North Ave & California
3178,52,1376,20160120 16:33,20160120 16:29,Southbound,California & Milwaukee (Blue Line)
6817,52,1696,20160120 16:37,20160120 16:28,Northbound,California & Le Moyne
9886,52,1673,20160120 16:45,20160120 16:29,Southbound,California & Milwaukee (Blue Line)
671,72,1162,20160120 16:45,20160120 16:44,Westbound,North Ave & Damen
2367,72,8144,20160120 16:49,20160120 16:45,Westbound,North Ave & Damen
7442,72,8138,20160120 16:54,20160120 16:44,Eastbound,North Ave & California
378,52,1673,20160120 16:46,20160120 16:44,Southbound,California & Milwaukee (Blue Line)
7950,52,1629,20160120 16:55,20160120 16:44,Northbound,California & Le Moyne
8679,52,1854,20160120 16:58,20160120 16:44,Southbound,California & Milwaukee (Blue Line)
1401,72,1344,20160120 17:02,20160120 16:59,Westbound,North Ave & Damen
2635,72,1943,20160120 17:03,20160120 16:59,Eastbound,North Ave & California
3130,72,8168,20160120 17:06,20160120 16:59,Westbound,North Ave & Damen
6110,52,1663,20160120 17:09,20160120 16:59,Southbound,California & Milwaukee (Blue Line)
12396,52,1701,20160120 17:17,20160120 16:59,Northbound,California & Le Moyne
14551,52,1283,20160120 17:19,20160120 16:59,Northbound,California & Le Moyne
1872,72,1215,20160120 17:18,20160120 17:14,Westbound,North Ave & Damen
4073,72,8160,20160120 17:22,20160120 17:14,Westbound,North Ave & Damen
6690,72,8122,20160120 17:23,20160120 17:14,Eastbound,North Ave & California
2196,52,1701,20160120 17:17,20160120 17:13,Northbound,California & Le Moyne
4049,52,1696,20160120 17:20,20160120 17:14,Southbound,California & Milwaukee (Blue Line)
6208,52,1283,20160120 17:22,20160120 17:14,Northbound,California & Le Moyne
1920,72,1996,20160120 17:33,20160120 17:29,Westbound,North Ave & Damen
8018,72,1994,20160120 17:39,20160120 17:29,Eastbound,North Ave & California
6303,72,1957,20160120 17:41,20160120 17:29,Westbound,North Ave & Damen
3497,52,1700,20160120 17:35,20160120 17:29,Northbound,California & Le Moyne
9826,52,1629,20160120 17:45,20160120 17:29,Southbound,California & Milwaukee (Blue Line)
12608,52,1256,20160120 17:47,20160120 17:29,Northbound,California & Le Moyne
1625,72,2019,20160120 17:47,20160120 17:43,Westbound,North Ave & Damen
6124,72,8138,20160120 17:56,20160120 17:44,Westbound,North Ave & Damen
11189,72,1049,20160120 17:59,20160120 17:44,Eastbound,North Ave & California
556,52,1256,20160120 17:46,20160120 17:44,Northbound,California & Le Moyne
1176,52,1629,20160120 17:46,20160120 17:44,Southbound,California & Milwaukee (Blue Line)
9370,52,1701,20160120 17:59,20160120 17:44,Southbound,California & Milwaukee (Blue Line)
1222,72,1049,20160120 18:01,20160120 17:59,Eastbound,North Ave & California
1572,72,1943,20160120 18:03,20160120 17:59,Westbound,North Ave & Damen
5421,72,1979,20160120 18:06,20160120 17:59,Eastbound,North Ave & California
216,52,1250,20160120 18:00,20160120 17:59,Northbound,California & Le Moyne
9361,52,1283,20160120 18:13,20160120 17:59,Southbound,California & Milwaukee (Blue Line)
10750,52,1681,20160120 18:14,20160120 17:59,Northbound,California & Le Moyne
1444,72,8122,20160120 18:18,20160120 18:14,Westbound,North Ave & Damen
8006,72,1162,20160120 18:24,20160120 18:14,Eastbound,North Ave & California
6493,72,8129,20160120 18:27,20160120 18:14,Westbound,North Ave & Damen
9352,52,1700,20160120 18:29,20160120 18:14,Southbound,California & Milwaukee (Blue Line)
14546,52,1255,20160120 18:33,20160120 18:14,Northbound,California & Le Moyne
9886,52,1256,20160120 18:34,20160120 18:14,Southbound,California & Milwaukee (Blue Line)
2351,72,8141,20160120 18:31,20160120 18:28,Eastbound,North Ave & California
3879,72,1994,20160120 18:37,20160120 18:29,Westbound,North Ave & Damen
12831,72,1344,20160120 18:46,20160120 18:29,Eastbound,North Ave & California
2734,52,1256,20160120 18:33,20160120 18:29,Southbound,California & Milwaukee (Blue Line)
6133,52,1255,20160120 18:37,20160120 18:29,Northbound,California & Le Moyne
8660,52,1250,20160120 18:42,20160120 18:29,Southbound,California & Milwaukee (Blue Line)
1219,72,1344,20160120 18:46,20160120 18:44,Eastbound,North Ave & California
1972,72,2024,20160120 18:48,20160120 18:44,Westbound,North Ave & Damen
9247,72,1215,20160120 18:56,20160120 18:44,Eastbound,North Ave & California
4369,52,1798,20160120 18:50,20160120 18:44,Northbound,California & Le Moyne
9826,52,1681,20160120 18:57,20160120 18:43,Southbound,California & Milwaukee (Blue Line)
15357,52,1660,20160120 19:03,20160120 18:44,Northbound,California & Le Moyne
9248,72,1996,20160120 19:10,20160120 18:59,Eastbound,North Ave & California
6223,72,1979,20160120 19:11,20160120 18:59,Westbound,North Ave & Damen
12609,72,1162,20160120 19:22,20160120 18:59,Westbound,North Ave & Damen
6133,52,1660,20160120 19:07,20160120 18:59,Northbound,California & Le Moyne
9886,52,1255,20160120 19:15,20160120 18:59,Southbound,California & Milwaukee (Blue Line)
16576,52,1673,20160120 19:20,20160120 19:00,Northbound,California & Le Moyne
3834,72,1162,20160120 19:22,20160120 19:14,Westbound,North Ave & Damen
8017,72,2019,20160120 19:22,20160120 19:13,Eastbound,North Ave & California
10415,72,8141,20160120 19:33,20160120 19:14,Westbound,North Ave & Damen
4705,52,1673,20160120 19:20,20160120 19:14,Northbound,California & Le Moyne
9886,52,1798,20160120 19:34,20160120 19:14,Southbound,California & Milwaukee (Blue Line)
18985,52,1854,20160120 19:37,20160120 19:14,Northbound,California & Le Moyne
6700,72,1943,20160120 19:36,20160120 19:29,Eastbound,North Ave & California
7612,72,1344,20160120 19:43,20160120 19:29,Westbound,North Ave & Damen
13915,72,8122,20160120 19:46,20160120 19:29,Eastbound,North Ave & California
4518,52,1798,20160120 19:35,20160120 19:29,Southbound,California & Milwaukee (Blue Line)
8076,52,1854,20160120 19:38,20160120 19:29,Northbound,California & Le Moyne
9886,52,1660,20160120 19:53,20160120 19:29,Southbound,California & Milwaukee (Blue Line)
3261,72,8122,20160120 19:48,20160120 19:44,Eastbound,North Ave & California
4368,72,1215,20160120 19:52,20160120 19:45,Westbound,North Ave & Damen
9246,72,8129,20160120 19:55,20160120 19:44,Eastbound,North Ave & California
7233,52,1660,20160120 19:52,20160120 19:44,Southbound,California & Milwaukee (Blue Line)
11606,52,1696,20160120 19:58,20160120 19:44,Northbound,California & Le Moyne
9886,52,1673,20160120 20:02,20160120 19:44,Southbound,California & Milwaukee (Blue Line)
3492,72,1996,20160120 20:06,20160120 19:59,Westbound,North Ave & Damen
7480,72,1994,20160120 20:08,20160120 19:59,Eastbound,North Ave & California
11678,72,2019,20160120 20:20,20160120 20:00,Westbound,North Ave & Damen
1198,52,1673,20160120 20:01,20160120 19:59,Southbound,California & Milwaukee (Blue Line)
6887,52,1629,20160120 20:07,20160120 19:59,Northbound,California & Le Moyne
9826,52,1854,20160120 20:11,20160120 19:59,Southbound,California & Milwaukee (Blue Line)
1310,72,2019,20160120 20:17,20160120 20:14,Westbound,North Ave & Damen
7838,72,1049,20160120 20:23,20160120 20:14,Eastbound,North Ave & California
7901,72,1943,20160120 20:28,20160120 20:14,Westbound,North Ave & Damen
9886,52,1696,20160120 20:31,20160120 20:14,Southbound,California & Milwaukee (Blue Line)
21085,52,1283,20160120 20:39,20160120 20:14,Northbound,California & Le Moyne
9248,72,1979,20160120 20:40,20160120 20:29,Eastbound,North Ave & California
6313,72,8122,20160120 20:40,20160120 20:29,Westbound,North Ave & Damen
12572,72,8129,20160120 20:53,20160120 20:29,Westbound,North Ave & Damen
2055,52,1696,20160120 20:31,20160120 20:29,Southbound,California & Milwaukee (Blue Line)
15357,52,1283,20160120 20:46,20160120 20:29,Northbound,California & Le Moyne
9922,52,1629,20160120 20:51,20160120 20:29,Southbound,California & Milwaukee (Blue Line)
4552,72,8129,20160120 20:52,20160120 20:44,Westbound,North Ave & Damen
10700,72,8141,20160120 20:55,20160120 20:44,Eastbound,North Ave & California
12572,72,1994,20160120 21:06,20160120 20:44,Westbound,North Ave & Damen
893,52,1283,20160120 20:46,20160120 20:44,Northbound,California & Le Moyne
5991,52,1629,20160120 20:51,20160120 20:44,Southbound,California & Milwaukee (Blue Line)
12616,52,1250,20160120 20:58,20160120 20:44,Northbound,California & Le Moyne
2426,72,1994,20160120 21:04,20160120 20:59,Westbound,North Ave & Damen
10584,72,1344,20160120 21:11,20160120 20:59,Eastbound,North Ave & California
12609,72,1049,20160120 21:19,20160120 20:59,Westbound,North Ave & Damen
11830,52,1283,20160120 21:12,20160120 20:59,Southbound,California & Milwaukee (Blue Line)
23134,52,1681,20160120 21:23,20160120 20:58,Northbound,California & Le Moyne
22836,52,1250,20160120 21:29,20160120 20:59,Southbound,California & Milwaukee (Blue Line)
2570,72,1049,20160120 21:18,20160120 21:14,Westbound,North Ave & Damen
11587,72,1996,20160120 21:26,20160120 21:14,Eastbound,North Ave & California
12637,72,1979,20160120 21:34,20160120 21:14,Westbound,North Ave & Damen
8594,52,1681,20160120 21:24,20160120 21:14,Northbound,California & Le Moyne
9886,52,1250,20160120 21:29,20160120 21:14,Southbound,California & Milwaukee (Blue Line)
23872,52,1255,20160120 21:39,20160120 21:14,Northbound,California & Le Moyne
