utc_timestamp,date_string,prediction,california_train,weather,feels_like,tweet,amen_train,uber_surging,uber_eta,72_bus,52_bus
1453913104,2016-01-27 10:45,3,1.0 to 4.0,Overcast,18.0 to 22.8333333333,0,17.6666666667 to 21.8333333333,1.0 to 1.15,5.0 to 6.5,16.0 to 21.0,6.0 to 11.0
1453914001,2016-01-27 11:00,3,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,11.0 to 16.0
1453914902,2016-01-27 11:15,2,10.0 to 13.0,Overcast,18.0 to 22.8333333333,0,17.6666666667 to 21.8333333333,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,21.0 to 26.0
1453915803,2016-01-27 11:30,1,1.0 to 4.0,Overcast,22.8333333333 to 27.6666666667,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,16.0 to 21.0,6.0 to 11.0
1453916704,2016-01-27 11:45,2,4.0 to 7.0,Overcast,22.8333333333 to 27.6666666667,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,11.0 to 16.0
1453986001,2016-01-28 07:00,2,13.0 to 16.0,Clear,32.5 to 37.3333333333,0,1.0 to 5.16666666667,1.0 to 1.15,9.5 to 11.0,1.0 to 6.0,6.0 to 11.0
1453986902,2016-01-28 07:15,2,13.0 to 16.0,Clear,32.5 to 37.3333333333,0,1.0 to 5.16666666667,1.0 to 1.15,9.5 to 11.0,1.0 to 6.0,16.0 to 21.0
1453987803,2016-01-28 07:30,2,13.0 to 16.0,Clear,27.6666666667 to 32.5,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,11.0 to 16.0
1453988704,2016-01-28 07:45,2,13.0 to 16.0,Clear,27.6666666667 to 32.5,0,13.5 to 17.6666666667,1.0 to 1.15,6.5 to 8.0,1.0 to 6.0,16.0 to 21.0
1453989601,2016-01-28 08:00,2,13.0 to 16.0,Clear,27.6666666667 to 32.5,0,9.33333333333 to 13.5,1.45 to 1.6,8.0 to 9.5,1.0 to 6.0,11.0 to 16.0
1453990502,2016-01-28 08:15,2,1.0 to 4.0,Clear,27.6666666667 to 32.5,0,1.0 to 5.16666666667,1.0 to 1.15,2.0 to 3.5,6.0 to 11.0,11.0 to 16.0
1453991403,2016-01-28 08:30,2,1.0 to 4.0,Clear,22.8333333333 to 27.6666666667,0,1.0 to 5.16666666667,1.0 to 1.15,2.0 to 3.5,1.0 to 6.0,6.0 to 11.0
1453992304,2016-01-28 08:45,2,13.0 to 16.0,Clear,22.8333333333 to 27.6666666667,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,11.0 to 16.0
1453993201,2016-01-28 09:00,2,1.0 to 4.0,Partly Cloudy,22.8333333333 to 27.6666666667,0,1.0 to 5.16666666667,1.0 to 1.15,5.0 to 6.5,6.0 to 11.0,11.0 to 16.0
