utc_timestamp,date_string,California_train,weather,feels_like,tweet,Damen_train,uber_surging,uber_eta,72_bus,52_bus
1454334304,2016-02-01 07:45,14,Mostly Cloudy,27.6666666667 to 32.5,1,14,5,5,2,6
1454335201,2016-02-01 08:00,2,Mostly Cloudy,27.6666666667 to 32.5,1,15,5,5,5,16
1454336102,2016-02-01 08:15,19,Mostly Cloudy,27.6666666667 to 32.5,1,6,5,5,8,10
1454337003,2016-02-01 08:30,2,Mostly Cloudy,27.6666666667 to 32.5,1,1,7,7,3,1
1454337904,2016-02-01 08:45,15,Mostly Cloudy,27.6666666667 to 32.5,1,4,7,7,6,13
1454338801,2016-02-01 09:00,15,Mostly Cloudy,27.6666666667 to 32.5,1,16,7,7,9,13
1454339702,2016-02-01 09:15,18,Mostly Cloudy,27.6666666667 to 32.5,1,15,6,6,2,4
1454340603,2016-02-01 09:30,1,Mostly Cloudy,32.5 to 37.3333333333,1,13,6,6,10,21
1454341504,2016-02-01 09:45,2,Mostly Cloudy,32.5 to 37.3333333333,1,18,6,6,1,22
1454342401,2016-02-01 10:00,2,Mostly Cloudy,32.5 to 37.3333333333,1,18,5,5,13,6
1454343302,2016-02-01 10:15,19,Mostly Cloudy,32.5 to 37.3333333333,1,13,5,5,13,20
1454344203,2016-02-01 10:30,12,Mostly Cloudy,32.5 to 37.3333333333,1,16,7,7,24,20
1454345104,2016-02-01 10:45,1,Mostly Cloudy,32.5 to 37.3333333333,1,16,7,7,17,12
1454346001,2016-02-01 11:00,2,Mostly Cloudy,32.5 to 37.3333333333,1,19,7,7,5,22
1454346902,2016-02-01 11:15,15,Mostly Cloudy,32.5 to 37.3333333333,1,13,6,6,13,13
1454347803,2016-02-01 11:30,15,Mostly Cloudy,37.3333333333 to 42.1666666667,1,13,6,6,18,23
1454348704,2016-02-01 11:45,12,Mostly Cloudy,37.3333333333 to 42.1666666667,1,17,6,6,15,12
