'distance_to_stop', 'rt', 'vehicle_id', 'prdtm', 'tmstmp', 'rtdir', 'stpnm'
19781,52,1648,20160128 11:39,20160128 11:14,Northbound,California & Le Moyne
3178,72,8156,20160128 11:34,20160128 11:29,Eastbound,North Ave & California
6204,72,1420,20160128 11:38,20160128 11:29,Westbound,North Ave & Damen
11534,72,8108,20160128 11:44,20160128 11:29,Eastbound,North Ave & California
11556,52,1648,20160128 11:43,20160128 11:29,Northbound,California & Le Moyne
9886,52,1638,20160128 11:45,20160128 11:29,Southbound,California & Milwaukee (Blue Line)
23248,52,1449,20160128 11:58,20160128 11:29,Northbound,California & Le Moyne
2384,72,1007,20160128 11:48,20160128 11:44,Westbound,North Ave & Damen
6590,72,1215,20160128 11:53,20160128 11:44,Eastbound,North Ave & California
12580,72,1162,20160128 12:02,20160128 11:44,Westbound,North Ave & Damen
382,52,1638,20160128 11:45,20160128 11:44,Southbound,California & Milwaukee (Blue Line)
11728,52,1449,20160128 11:58,20160128 11:44,Northbound,California & Le Moyne
9886,52,1129,20160128 12:02,20160128 11:44,Southbound,California & Milwaukee (Blue Line)
2525,72,1061,20160128 12:03,20160128 11:59,Eastbound,North Ave & California
4386,72,1162,20160128 12:04,20160128 11:58,Westbound,North Ave & Damen
9134,72,8173,20160128 12:12,20160128 11:59,Westbound,North Ave & Damen
2065,52,1129,20160128 12:02,20160128 11:59,Southbound,California & Milwaukee (Blue Line)
12745,52,1235,20160128 12:15,20160128 11:59,Northbound,California & Le Moyne
12757,52,1648,20160128 12:19,20160128 11:59,Southbound,California & Milwaukee (Blue Line)
7625,72,8156,20160128 12:25,20160128 12:14,Westbound,North Ave & Damen
12888,72,8128,20160128 12:32,20160128 12:14,Eastbound,North Ave & California
12572,72,8108,20160128 12:37,20160128 12:14,Westbound,North Ave & Damen
886,52,1235,20160128 12:16,20160128 12:15,Northbound,California & Le Moyne
4533,52,1648,20160128 12:20,20160128 12:14,Southbound,California & Milwaukee (Blue Line)
13648,52,1716,20160128 12:31,20160128 12:14,Northbound,California & Le Moyne
2421,72,8108,20160128 12:33,20160128 12:29,Westbound,North Ave & Damen
2717,72,8128,20160128 12:33,20160128 12:29,Eastbound,North Ave & California
5938,72,1932,20160128 12:37,20160128 12:29,Eastbound,North Ave & California
890,52,1716,20160128 12:31,20160128 12:29,Northbound,California & Le Moyne
5975,52,1449,20160128 12:36,20160128 12:29,Southbound,California & Milwaukee (Blue Line)
9412,52,1622,20160128 12:41,20160128 12:29,Northbound,California & Le Moyne
2462,72,1215,20160128 12:48,20160128 12:44,Westbound,North Ave & Damen
3693,72,8146,20160128 12:49,20160128 12:44,Eastbound,North Ave & California
9737,72,1061,20160128 13:00,20160128 12:44,Westbound,North Ave & Damen
1965,52,1715,20160128 12:47,20160128 12:44,Northbound,California & Le Moyne
6212,52,1235,20160128 12:53,20160128 12:45,Southbound,California & Milwaukee (Blue Line)
17551,52,1714,20160128 13:07,20160128 12:45,Northbound,California & Le Moyne
3733,72,8162,20160128 13:05,20160128 12:59,Eastbound,North Ave & California
7449,72,1420,20160128 13:09,20160128 12:59,Eastbound,North Ave & California
6318,72,2008,20160128 13:09,20160128 12:59,Westbound,North Ave & Damen
5149,52,1714,20160128 13:06,20160128 12:59,Northbound,California & Le Moyne
6349,52,1716,20160128 13:08,20160128 12:59,Southbound,California & Milwaukee (Blue Line)
19439,52,1443,20160128 13:24,20160128 12:59,Northbound,California & Le Moyne
2656,72,1007,20160128 13:19,20160128 13:14,Eastbound,North Ave & California
6225,72,8128,20160128 13:24,20160128 13:14,Westbound,North Ave & Damen
12604,72,1162,20160128 13:32,20160128 13:14,Eastbound,North Ave & California
7099,52,1622,20160128 13:24,20160128 13:15,Southbound,California & Milwaukee (Blue Line)
11616,52,1443,20160128 13:29,20160128 13:14,Northbound,California & Le Moyne
14092,52,1696,20160128 13:31,20160128 13:14,Northbound,California & Le Moyne
